epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7094,4.18705,5.568,2.07792,0,0,0,0,3.71305,5.42474,1.67172,0,0,0
2,35.9839,4.21834,5.69189,2.04821,0,0,0,0,3.71845,5.42325,1.67203,3.44146e-06,3.44146e-06,3.44146e-06
3,52.0892,4.51927,5.65465,2.06637,0,0,0,0,3.7034,5.42055,1.6649,6.86584e-06,6.86584e-06,6.86584e-06
4,67.6904,4.2865,5.57441,2.05121,0,0,0,0,3.66875,5.41704,1.65097,1.02732e-05,1.02732e-05,1.02732e-05
5,83.3584,4.34295,5.57801,1.98856,0,0,0,0,3.62242,5.41176,1.63011,1.36634e-05,1.36634e-05,1.36634e-05
6,98.661,4.14229,5.54861,1.8668,0,0,0,0,3.55293,5.40467,1.59914,1.70365e-05,1.70365e-05,1.70365e-05
7,113.715,3.66414,5.47932,1.8049,0,0,0,0,3.47006,5.3968,1.56434,2.03926e-05,2.03926e-05,2.03926e-05
8,128.864,3.46757,5.42074,1.71863,0,0,0,0,3.38543,5.38741,1.52853,2.37316e-05,2.37316e-05,2.37316e-05
9,144.175,3.48982,5.38622,1.65142,0,0,0,0,3.31262,5.37352,1.49317,2.70535e-05,2.70535e-05,2.70535e-05
10,159.917,3.26313,5.34254,1.53636,0,0,0,0,3.21705,5.35929,1.45398,3.03584e-05,3.03584e-05,3.03584e-05
11,175.27,3.25505,5.32169,1.48383,0,0,0,0,3.14265,5.34571,1.42076,3.36461e-05,3.36461e-05,3.36461e-05
12,190.708,2.96199,5.26924,1.42278,0,0,0,0,3.05131,5.3311,1.38673,3.69168e-05,3.69168e-05,3.69168e-05
13,206.048,3.00695,5.28585,1.3038,0,0,0,0,2.94238,5.3181,1.34527,4.01704e-05,4.01704e-05,4.01704e-05
14,221.402,2.85095,5.21496,1.26603,0,0,0,0,2.83546,5.295,1.30281,4.3407e-05,4.3407e-05,4.3407e-05
15,236.427,2.75207,5.18766,1.27366,0,0,0,0,2.68123,5.2581,1.24248,4.66264e-05,4.66264e-05,4.66264e-05
16,251.748,2.50729,5.12479,1.15393,0,0,0,0,2.48938,5.21365,1.17115,4.98288e-05,4.98288e-05,4.98288e-05
17,267.553,2.4035,5.11677,1.13194,0,0,0,0,2.29323,5.16988,1.10725,5.30141e-05,5.30141e-05,5.30141e-05
18,282.835,2.4682,5.12355,1.09808,0,0,0,0,2.13591,5.13493,1.05792,5.61823e-05,5.61823e-05,5.61823e-05
19,298.017,2.32484,5.04415,1.09535,0,0,0,0,2.00938,5.10166,1.0215,5.93334e-05,5.93334e-05,5.93334e-05
20,313.23,2.2407,5.01234,1.05793,0,0,0,0,1.89869,5.07191,0.99309,6.24675e-05,6.24675e-05,6.24675e-05
21,328.641,2.16246,4.9855,1.04103,0,0,0,0,1.80968,5.05111,0.97127,6.55845e-05,6.55845e-05,6.55845e-05
22,344.262,2.10238,4.91563,1.01166,0,0,0,0,1.72301,5.02827,0.95034,6.86844e-05,6.86844e-05,6.86844e-05
23,359.3,1.91456,4.82585,0.98422,0,0,0,0,1.64062,5.00984,0.93263,7.17672e-05,7.17672e-05,7.17672e-05
24,374.589,1.84638,4.78086,0.96951,0,0,0,0,1.57124,4.99813,0.91883,7.4833e-05,7.4833e-05,7.4833e-05
25,390.024,1.84893,4.75873,0.95021,0,0,0,0,1.51908,4.99051,0.90823,7.78817e-05,7.78817e-05,7.78817e-05
26,405.323,1.79771,4.73733,0.94727,0,0,0,0,1.47351,4.98442,0.89774,8.09133e-05,8.09133e-05,8.09133e-05
27,420.53,1.92649,4.69203,0.9412,0,0,0,0,1.43924,4.97951,0.88804,8.39278e-05,8.39278e-05,8.39278e-05
28,435.683,1.62732,4.58607,0.92499,0,0,0,0,1.42604,4.96852,0.88229,8.69253e-05,8.69253e-05,8.69253e-05
29,451.01,1.67429,4.56196,0.91205,0,0,0,0,1.42134,4.94762,0.87933,8.99056e-05,8.99056e-05,8.99056e-05
30,466.376,1.72199,4.49423,0.90744,0,0,0,0,1.41667,4.92485,0.87751,9.28689e-05,9.28689e-05,9.28689e-05
31,481.747,1.68033,4.46157,0.91293,0,0,0,0,1.40985,4.89924,0.87509,9.58151e-05,9.58151e-05,9.58151e-05
32,497.196,1.62135,4.31757,0.90098,0.008,0.00143,0.00414,0.00331,1.41089,4.86672,0.8756,9.87443e-05,9.87443e-05,9.87443e-05
33,512.599,1.56831,4.28031,0.88943,0.00645,0.01281,0.00456,0.00328,1.40197,4.81761,0.87596,0.000101656,0.000101656,0.000101656
34,528.336,1.56397,4.25923,0.88608,0.06287,0.04916,0.03764,0.02534,1.39788,4.76487,0.87551,0.000104551,0.000104551,0.000104551
35,543.712,1.49127,4.13551,0.88725,0.05008,0.13251,0.04236,0.02928,1.39852,4.71465,0.87596,0.000107429,0.000107429,0.000107429
36,558.847,1.46799,4.06848,0.88523,0.0427,0.2311,0.04856,0.03288,1.3939,4.66675,0.87484,0.00011029,0.00011029,0.00011029
37,573.949,1.67136,4.07246,0.88711,0.04118,0.32665,0.05624,0.03554,1.39207,4.61913,0.87366,0.000113134,0.000113134,0.000113134
38,589.197,1.63048,3.94182,0.88512,0.03808,0.40902,0.0618,0.03755,1.4014,4.57741,0.87251,0.00011596,0.00011596,0.00011596
39,604.378,1.92446,4.04779,0.90142,0.03405,0.45289,0.06283,0.03469,1.43119,4.53497,0.87332,0.00011877,0.00011877,0.00011877
40,620.34,1.55036,3.8196,0.87469,0.03349,0.47478,0.06611,0.03441,1.45259,4.46809,0.87319,0.000121563,0.000121563,0.000121563
41,637.118,1.60025,3.77063,0.88315,0.03615,0.50352,0.06945,0.0363,1.44504,4.38009,0.87232,0.000124338,0.000124338,0.000124338
42,653.931,1.65485,3.76904,0.87559,0.03664,0.51175,0.07301,0.04136,1.40726,4.28151,0.87066,0.000127096,0.000127096,0.000127096
43,670.851,1.65304,3.78229,0.88929,0.04422,0.53525,0.07973,0.0465,1.36914,4.20056,0.86869,0.000129838,0.000129838,0.000129838
44,686.611,1.60845,3.60788,0.89255,0.04994,0.57107,0.08929,0.05163,1.35889,4.15835,0.86952,0.000132562,0.000132562,0.000132562
45,701.907,1.54711,3.56621,0.87105,0.05205,0.59442,0.10107,0.05664,1.37625,4.13806,0.87112,0.000135269,0.000135269,0.000135269
46,716.996,1.53657,3.46416,0.87675,0.06022,0.59856,0.11027,0.0608,1.38464,4.13662,0.87271,0.000137959,0.000137959,0.000137959
47,732.463,1.63084,3.51196,0.87213,0.09558,0.59436,0.13019,0.07782,1.36206,4.13478,0.87055,0.000140632,0.000140632,0.000140632
48,748.099,1.67111,3.38596,0.87491,0.0968,0.59169,0.12723,0.07548,1.34004,4.14617,0.8675,0.000143288,0.000143288,0.000143288
49,763.631,1.5178,3.32953,0.87829,0.06505,0.60002,0.11642,0.06648,1.31437,4.13824,0.86227,0.000145927,0.000145927,0.000145927
