epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1412,2.08174,4.26859,1.93859,0.00076,0.05333,0.0005,0.00018,1.97716,4.05602,1.90134,0,0,0
2,26.4758,2.17948,4.33309,2.01501,0.00127,0.08,0.00084,0.00028,1.87225,4.03818,1.83814,9.9505e-06,9.9505e-06,9.9505e-06
3,39.5085,2.13378,4.25148,2.00105,0.00146,0.09333,0.00101,0.00034,1.64833,4.00969,1.71429,1.9802e-05,1.9802e-05,1.9802e-05
4,52.3311,1.68085,4.12122,1.68952,0.00227,0.12667,0.0016,0.00049,1.38209,3.98314,1.57001,2.95545e-05,2.95545e-05,2.95545e-05
5,65.0651,1.6281,4.15779,1.66011,0.003,0.16667,0.00251,0.001,1.11541,3.94346,1.38938,3.9208e-05,3.9208e-05,3.9208e-05
6,77.5955,1.41792,4.08714,1.5123,0.0055,0.27333,0.00806,0.00339,0.86969,3.88618,1.19095,4.87625e-05,4.87625e-05,4.87625e-05
7,89.9963,1.16026,4.01755,1.37424,0.01188,0.52,0.05067,0.02586,0.69202,3.78652,1.0231,5.8218e-05,5.8218e-05,5.8218e-05
8,102.375,0.99451,3.92353,1.26032,0.01909,0.83333,0.12447,0.0801,0.6162,3.64611,0.91587,6.75745e-05,6.75745e-05,6.75745e-05
9,114.917,0.85259,3.72059,1.09956,0.02079,0.95333,0.22209,0.16391,0.61284,3.51947,0.86017,7.6832e-05,7.6832e-05,7.6832e-05
10,127.378,0.82557,3.72108,1.06928,0.02118,0.99333,0.29905,0.25123,0.60941,3.41634,0.83669,8.59905e-05,8.59905e-05,8.59905e-05
11,139.929,0.80636,3.45911,1.02541,0.02119,1,0.34566,0.28977,0.61077,3.35619,0.82274,9.505e-05,9.505e-05,9.505e-05
12,152.962,0.7315,3.44656,0.97231,0.02094,0.99333,0.37409,0.30905,0.6146,3.31321,0.81511,0.00010401,0.00010401,0.00010401
13,165.567,0.75942,3.37778,0.97552,0.02107,1,0.37701,0.3053,0.64018,3.28136,0.8112,0.000112872,0.000112872,0.000112872
14,178.043,0.72239,3.17754,0.95983,0.02117,1,0.3766,0.29346,0.66043,3.26784,0.81261,0.000121635,0.000121635,0.000121635
15,190.486,0.67911,3.0643,0.93904,0.02126,1,0.36927,0.27693,0.6707,3.24976,0.81815,0.000130298,0.000130298,0.000130298
16,202.962,0.73785,3.06005,0.94663,0.0215,1,0.38662,0.29336,0.66863,3.2003,0.81531,0.000138863,0.000138863,0.000138863
17,215.498,0.70206,2.95097,0.9313,0.02179,1,0.42797,0.32019,0.69559,3.16358,0.81736,0.000147328,0.000147328,0.000147328
18,227.952,0.65131,2.72509,0.90015,0.02199,0.99333,0.44221,0.32868,0.74898,3.15237,0.83996,0.000155695,0.000155695,0.000155695
19,241.084,0.67036,2.67944,0.90346,0.02181,0.98,0.42408,0.31243,0.80528,3.15991,0.86781,0.000163962,0.000163962,0.000163962
20,254.296,0.68515,2.65692,0.91474,0.02113,0.96,0.40089,0.29346,0.82747,3.16541,0.88596,0.000172131,0.000172131,0.000172131
21,266.831,0.66692,2.47658,0.90464,0.02086,0.94667,0.38585,0.29576,0.81131,3.17129,0.89291,0.0001802,0.0001802,0.0001802
22,279.344,0.66141,2.32596,0.89811,0.02094,0.94667,0.38791,0.30801,0.77243,3.15699,0.89241,0.00018817,0.00018817,0.00018817
23,291.755,0.65919,2.2718,0.90586,0.65839,0.1483,0.38542,0.31192,0.74632,3.12632,0.88548,0.000196042,0.000196042,0.000196042
24,304.223,0.67836,2.19587,0.90474,1,0.08853,0.39539,0.32069,0.74308,3.10247,0.88079,0.000203815,0.000203815,0.000203815
25,316.641,0.6166,2.03741,0.90069,1,0.07551,0.3973,0.31437,0.76046,3.08372,0.88112,0.000211488,0.000211488,0.000211488
