epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0136,3.69693,5.37471,2.12427,0,0,0,0,3.8207,5.37657,2.02553,0,0,0
2,32.3973,3.73515,5.41616,2.11789,0,0,0,0,3.79069,5.36877,2.01057,3.44317e-06,3.44317e-06,3.44317e-06
3,48.4583,3.85902,5.38196,2.05057,0,0,0,0,3.75909,5.36027,1.98435,6.87268e-06,6.87268e-06,6.87268e-06
4,64.8173,3.66264,5.35247,2.02599,0,0,0,0,3.71528,5.35244,1.94855,1.02885e-05,1.02885e-05,1.02885e-05
5,80.6255,3.71251,5.34257,2.01053,0,0,0,0,3.66339,5.34234,1.90432,1.36907e-05,1.36907e-05,1.36907e-05
6,96.2794,3.66676,5.34858,1.96145,0,0,0,0,3.59553,5.32635,1.84877,1.70792e-05,1.70792e-05,1.70792e-05
7,111.427,3.29607,5.32622,1.90074,0,0,0,0,3.53656,5.31135,1.79498,2.04541e-05,2.04541e-05,2.04541e-05
8,127.179,3.10586,5.29532,1.80101,0,0,0,0,3.50213,5.28787,1.74384,2.38153e-05,2.38153e-05,2.38153e-05
9,145.445,3.09807,5.27258,1.71853,0,0,0,0,3.43196,5.25653,1.67708,2.71628e-05,2.71628e-05,2.71628e-05
10,161.319,3.0344,5.25782,1.66224,0,0,0,0,3.37925,5.23851,1.62114,3.04967e-05,3.04967e-05,3.04967e-05
11,177.181,2.99631,5.23071,1.57868,0,0,0,0,3.28953,5.22138,1.56538,3.38169e-05,3.38169e-05,3.38169e-05
12,192.713,2.69269,5.18648,1.50007,0,0,0,0,3.18087,5.20322,1.5075,3.71234e-05,3.71234e-05,3.71234e-05
13,208.313,2.66837,5.15712,1.36922,0,0,0,0,3.02814,5.18006,1.44186,4.04163e-05,4.04163e-05,4.04163e-05
14,223.606,2.52974,5.1221,1.35445,0,0,0,0,2.8452,5.15066,1.36417,4.36956e-05,4.36956e-05,4.36956e-05
15,238.812,2.32761,5.09171,1.30045,0,0,0,0,2.59078,5.12004,1.27348,4.69611e-05,4.69611e-05,4.69611e-05
16,254.247,2.20967,5.02592,1.19866,0,0,0,0,2.29382,5.09607,1.18814,5.0213e-05,5.0213e-05,5.0213e-05
17,269.934,2.09609,5.01948,1.18506,0,0,0,0,2.03483,5.08196,1.12066,5.34513e-05,5.34513e-05,5.34513e-05
18,285.357,2.15572,4.99197,1.15151,0,0,0,0,1.86146,5.07254,1.07741,5.66758e-05,5.66758e-05,5.66758e-05
19,300.71,2.01419,4.92823,1.12483,0,0,0,0,1.72281,5.06146,1.04282,5.98868e-05,5.98868e-05,5.98868e-05
20,316.044,1.90362,4.8613,1.06936,0,0,0,0,1.60303,5.04108,1.01235,6.3084e-05,6.3084e-05,6.3084e-05
21,331.358,1.90385,4.85097,1.06765,0,0,0,0,1.52192,5.02065,0.9891,6.62676e-05,6.62676e-05,6.62676e-05
22,346.661,1.75806,4.76504,1.0249,0,0,0,0,1.45298,4.99632,0.96833,6.94375e-05,6.94375e-05,6.94375e-05
23,361.78,1.62574,4.69615,1.00084,0,0,0,0,1.38024,4.967,0.94879,7.25938e-05,7.25938e-05,7.25938e-05
24,377.126,1.5993,4.63977,0.98907,0,0,0,0,1.3323,4.94305,0.93633,7.57364e-05,7.57364e-05,7.57364e-05
25,392.568,1.62562,4.62635,0.99381,0,0,0,0,1.30257,4.92669,0.92782,7.88653e-05,7.88653e-05,7.88653e-05
26,411.58,1.54294,4.56002,0.9665,0,0,0,0,1.26686,4.90767,0.91917,8.19806e-05,8.19806e-05,8.19806e-05
27,428.523,1.72476,4.53791,0.98784,0,0,0,0,1.23771,4.88758,0.91161,8.50822e-05,8.50822e-05,8.50822e-05
28,444.884,1.47143,4.38508,0.96782,0,0,0,0,1.22261,4.86551,0.90694,8.81702e-05,8.81702e-05,8.81702e-05
29,461.195,1.50234,4.34764,0.94609,0,0,0,0,1.21067,4.8373,0.90365,9.12445e-05,9.12445e-05,9.12445e-05
30,477.635,1.52699,4.28481,0.94376,0,0,0,0,1.20516,4.80434,0.90137,9.43051e-05,9.43051e-05,9.43051e-05
31,493.872,1.51082,4.26888,0.94441,0,0,0,0,1.19928,4.76752,0.89846,9.73521e-05,9.73521e-05,9.73521e-05
32,510.254,1.45692,4.10336,0.93562,0,0,0,0,1.19428,4.7272,0.89809,0.000100385,0.000100385,0.000100385
33,526.718,1.4099,4.04885,0.93595,0.01115,0.0236,0.00862,0.00615,1.17455,4.67762,0.89426,0.000103405,0.000103405,0.000103405
34,543.087,1.36195,4.01178,0.91891,0.02081,0.07627,0.02198,0.01615,1.15701,4.62292,0.89025,0.000106411,0.000106411,0.000106411
35,559.365,1.32959,3.87362,0.91445,0.05905,0.17497,0.05306,0.03744,1.1555,4.55919,0.88922,0.000109403,0.000109403,0.000109403
36,575.588,1.27457,3.798,0.91144,0.05268,0.31495,0.06463,0.04352,1.16768,4.48693,0.89025,0.000112382,0.000112382,0.000112382
37,591.651,1.45065,3.83383,0.92856,0.05782,0.45551,0.0811,0.05351,1.16394,4.41425,0.89057,0.000115347,0.000115347,0.000115347
