epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.02,3.76345,5.34739,2.81567,0.00048,0.14286,0.00027,4e-05,4.32292,6.86395,3.08304,2e-05,2e-05,2e-05
2,28.4331,3.73599,5.31479,2.7859,0.00202,0.60714,0.002,0.00054,3.47051,6.36082,2.75116,5.9406e-05,5.9406e-05,5.9406e-05
3,41.5484,3.11534,4.88248,2.34139,0.0025,0.75,0.00322,0.00065,3.57638,5.82594,2.85785,9.802e-05,9.802e-05,9.802e-05
4,55.6736,2.4078,4.52976,1.85437,0.00214,0.64286,0.00339,0.00065,3.56768,5.33733,2.78161,0.000135842,0.000135842,0.000135842
5,69.1489,1.82272,3.88298,1.56299,0.00333,1,0.00985,0.00429,2.18148,4.64675,1.56438,0.000172872,0.000172872,0.000172872
6,82.2364,1.47189,3.1114,1.25358,0.00333,1,0.35521,0.21805,1.66623,3.90709,1.22999,0.00020911,0.00020911,0.00020911
7,95.1958,1.61809,2.7403,1.25848,0.00333,1,0.76294,0.37091,1.25346,3.46761,1.04769,0.000244556,0.000244556,0.000244556
8,108.129,1.54111,2.49636,1.2321,0.00333,1,0.61803,0.24565,1.22374,3.48371,1.09591,0.00027921,0.00027921,0.00027921
9,121.002,1.36437,2.26259,1.15545,0.00333,1,0.37193,0.14923,1.30935,3.70787,1.13998,0.000313072,0.000313072,0.000313072
10,133.747,1.25762,2.1005,1.10089,0.00333,1,0.11998,0.05698,1.37575,3.94797,1.16449,0.000346142,0.000346142,0.000346142
11,147.41,1.36698,2.05212,1.09324,0.00333,1,0.01242,0.00712,1.7095,4.20192,1.27357,0.00037842,0.00037842,0.00037842
12,160.471,1.30983,2.10403,1.07232,0.0031,0.92857,0.00535,0.00211,2.42106,4.83105,1.7082,0.000409906,0.000409906,0.000409906
13,173.458,1.33338,1.8699,1.09199,0.00179,0.53571,0.00193,0.00066,3.3435,5.46767,2.61093,0.0004406,0.0004406,0.0004406
14,187.518,1.19067,1.8515,1.06845,0.00071,0.21429,0.00057,0.00019,3.72869,5.58654,3.19894,0.000470502,0.000470502,0.000470502
15,200.783,1.21941,1.64824,1.11706,0.00036,0.10714,0.00022,8e-05,3.89693,5.65143,3.3884,0.000499612,0.000499612,0.000499612
16,213.682,1.31992,1.69619,1.09149,0.00012,0.03571,7e-05,4e-05,3.84711,5.65965,3.44687,0.00052793,0.00052793,0.00052793
17,226.552,1.28632,1.58606,1.07336,0.00012,0.03571,7e-05,5e-05,3.74104,5.62482,3.35862,0.000555456,0.000555456,0.000555456
18,239.467,1.10139,1.47972,1.05134,0.00048,0.14286,0.00028,0.0001,3.50111,5.52687,3.11188,0.00058219,0.00058219,0.00058219
19,252.805,1.30338,1.82596,1.10889,0.00083,0.25,0.0007,0.00042,3.01507,5.16694,2.68024,0.000608132,0.000608132,0.000608132
20,265.718,1.13537,1.34887,1.06903,0.00167,0.5,0.00253,0.00126,2.40908,4.71108,2.18814,0.000633282,0.000633282,0.000633282
21,278.634,1.20588,1.67348,1.0529,0.00202,0.60714,0.00464,0.00287,2.05788,4.51404,1.9005,0.00065764,0.00065764,0.00065764
22,291.376,1.14191,1.47124,1.08813,0.00226,0.67857,0.00521,0.00298,1.98112,4.49214,1.83984,0.000681206,0.000681206,0.000681206
23,304.198,1.03047,1.42601,1.06781,0.00238,0.71429,0.00599,0.00358,1.7387,4.3517,1.6472,0.00070398,0.00070398,0.00070398
24,317.18,1.10279,1.5607,1.05807,0.00262,0.78571,0.00718,0.00424,1.62516,4.33948,1.51388,0.000725962,0.000725962,0.000725962
25,330.166,1.18478,1.4541,1.10103,0.00274,0.82143,0.00656,0.00292,1.72442,4.65224,1.69891,0.000747152,0.000747152,0.000747152
26,343.054,1.16372,1.49519,1.0743,0.00298,0.89286,0.00649,0.0032,1.60492,4.84402,1.64713,0.00076755,0.00076755,0.00076755
27,355.911,1.14597,1.63429,1.18479,0.0031,0.92857,0.00806,0.00464,1.44802,4.56574,1.48918,0.000787156,0.000787156,0.000787156
28,368.796,1.02242,1.39518,1.0631,0.0031,0.92857,0.00806,0.00464,1.44802,4.56574,1.48918,0.00080597,0.00080597,0.00080597
29,381.662,1.06934,1.43295,1.10608,0.00321,0.96429,0.00908,0.00575,1.2813,4.28306,1.35074,0.000823992,0.000823992,0.000823992
30,394.802,1.14915,1.40766,1.13732,0.00333,1,0.00841,0.00515,1.43009,4.44269,1.32746,0.000841222,0.000841222,0.000841222
31,407.639,1.13162,1.36949,1.11088,0.00333,1,0.00841,0.00515,1.43009,4.44269,1.32746,0.00085766,0.00085766,0.00085766
